id,lat,lng,seq
M080022,40.725019,-73.975503,10001
M080022,40.725322,-73.976209,10002
M080022,40.725862,-73.977549,10003
M080022,40.726000,-73.977878,10004
M080022,40.726000,-73.977878,20001
M080022,40.726852,-73.979909,20002
M080022,40.726997,-73.980252,20003
M080022,40.726997,-73.980252,30001
M080022,40.727779,-73.982105,30002
M080022,40.727779,-73.982105,40001
M080022,40.727832,-73.982229,40002
M080022,40.727252,-73.982659,40003
M080022,40.727411,-73.983038,40004
M080022,40.727411,-73.983038,50001
M080022,40.728182,-73.984879,50002
M080022,40.728332,-73.985229,50003
M080022,40.728339,-73.985246,50004
M080022,40.728339,-73.985246,60001
M080022,40.728962,-73.986719,60002
M080022,40.729182,-73.987239,60003
M080022,40.729352,-73.987629,60004
M080022,40.729370,-73.987674,60005
M080022,40.729370,-73.987674,70001
M080022,40.729892,-73.988919,70002
M080022,40.730047,-73.989296,70003
M080022,40.730047,-73.989296,80001
M080022,40.730122,-73.989479,80002
M080022,40.730500,-73.990360,80003
M080022,40.730500,-73.990360,90001
M080022,40.730572,-73.990529,90002
M080022,40.730612,-73.990629,90003
M080022,40.731152,-73.991899,90004
M080022,40.731380,-73.992441,90005
M080022,40.731380,-73.992441,100001
M080022,40.732162,-73.994299,100002
M080022,40.732308,-73.994644,100003
M080022,40.732308,-73.994644,110001
M080022,40.732842,-73.995909,110002
M080022,40.733043,-73.996399,110003
M080022,40.733043,-73.996399,120001
M080022,40.734096,-73.998954,120002
M080022,40.734096,-73.998954,130001
M080022,40.734172,-73.999139,130002
M080022,40.734122,-73.999329,130003
M080022,40.734062,-73.999639,130004
M080022,40.734019,-73.999921,130005
M080022,40.734019,-73.999921,140001
M080022,40.733952,-74.000359,140002
M080022,40.733832,-74.001209,140003
M080022,40.733694,-74.002184,140004
M080022,40.733694,-74.002184,150001
M080022,40.733692,-74.002199,150002
M080022,40.733612,-74.002789,150003
M080022,40.733519,-74.003324,150004
M080022,40.733519,-74.003324,160001
M080022,40.733362,-74.004229,160002
M080022,40.733303,-74.004680,160003
M080022,40.733303,-74.004680,170001
M080022,40.733222,-74.005309,170002
M080022,40.733142,-74.005869,170003
M080022,40.733096,-74.006138,170004
M080022,40.733096,-74.006138,180001
M080022,40.733052,-74.006399,180002
M080022,40.732812,-74.007529,180003
M080022,40.732752,-74.007918,180004
M080022,40.732752,-74.007918,190001
M080022,40.732642,-74.008629,190002
M080022,40.732576,-74.009038,190003
M080022,40.732576,-74.009038,200001
M080022,40.732442,-74.009869,200002
M080022,40.732342,-74.010239,200003
M080022,40.732498,-74.010222,200004
M080023,40.732853,-74.010186,10001
M080023,40.733122,-74.010159,10002
M080023,40.733192,-74.009799,10003
M080023,40.733364,-74.008723,10004
M080023,40.733364,-74.008723,20001
M080023,40.733392,-74.008549,20002
M080023,40.733560,-74.007475,20003
M080023,40.733560,-74.007475,30001
M080023,40.733582,-74.007339,30002
M080023,40.733742,-74.006289,30003
M080023,40.733807,-74.005857,30004
M080023,40.733807,-74.005857,40001
M080023,40.734002,-74.004569,40002
M080023,40.734047,-74.004265,40003
M080023,40.734047,-74.004265,50001
M080023,40.734242,-74.002969,50002
M080023,40.734298,-74.002606,50003
M080023,40.734298,-74.002606,60001
M080023,40.734332,-74.002389,60002
M080023,40.734472,-74.001389,60003
M080023,40.734525,-74.001031,60004
M080023,40.734525,-74.001031,70001
M080023,40.734682,-73.999979,70002
M080023,40.734612,-73.999939,70003
M080023,40.734292,-73.999739,70004
M080023,40.734155,-73.999680,70005
M080023,40.734155,-73.999680,80001
M080023,40.734062,-73.999639,80002
M080023,40.733632,-73.999529,80003
M080023,40.733582,-73.999469,80004
M080023,40.733542,-73.999419,80005
