id,lat,lng,seq
M040874,40.801938,-73.961453,60001
M040874,40.803141,-73.964265,60002
M040874,40.803141,-73.964265,70001
M040874,40.804071,-73.966488,70002
M040874,40.804071,-73.966488,80001
M040874,40.806284,-73.965017,80002
M040874,40.806284,-73.965017,90001
M040874,40.808004,-73.963787,90002
M040874,40.808004,-73.963787,100001
M040874,40.810368,-73.962045,100002
M040874,40.810368,-73.962045,110001
M040874,40.812057,-73.960790,110002
M040874,40.812057,-73.960790,120001
M040874,40.813995,-73.959366,120002
M040874,40.813995,-73.959366,130001
M040874,40.814981,-73.958672,130002
M040874,40.814981,-73.958672,140001
M040874,40.817359,-73.956942,140002
M040874,40.817359,-73.956942,150001
M040874,40.818551,-73.956069,150002
M040874,40.818551,-73.956069,160001
M040874,40.820661,-73.954533,160002
M040874,40.820661,-73.954533,170001
M040874,40.821271,-73.954089,170002
M040874,40.821271,-73.954089,180001
M040874,40.822843,-73.952938,180002
M040874,40.822843,-73.952938,190001
M040874,40.824110,-73.952021,190002
M040874,40.824110,-73.952021,200001
M040874,40.825338,-73.951112,200002
M040874,40.825338,-73.951112,210001
M040874,40.826824,-73.950046,210002
M040874,40.826824,-73.950046,220001
M040874,40.827945,-73.949211,220002
M040874,40.827945,-73.949211,230001
M040874,40.829196,-73.948310,230002
M040874,40.829196,-73.948310,240001
M040874,40.830445,-73.947395,240002
M040874,40.830445,-73.947395,250001
M040874,40.831726,-73.946452,250002
M040874,40.831726,-73.946452,260001
M040874,40.833017,-73.945503,260002
M040874,40.833017,-73.945503,270001
M040874,40.834286,-73.944586,270002
M040874,40.834286,-73.944586,280001
M040874,40.835547,-73.943672,280002
M040874,40.835547,-73.943672,290001
M040874,40.836767,-73.942765,290002
M040874,40.836767,-73.942765,300001
M040874,40.838033,-73.941836,300002
M040874,40.838033,-73.941836,310001
M040874,40.838372,-73.941579,310002
M040874,40.839112,-73.941039,310003
M040874,40.839202,-73.941219,310004
M040874,40.839712,-73.942179,310005
M040874,40.840182,-73.943069,310006
